iterations_gen,iterations_best_fitness
273,132
0,126
0,134
107,124
229,124
1,124
18,124
1,124
1,125
0,124
52,124
386,120
388,126
182,124
191,125
230,128
1,124
387,124
4,130
78,124
122,120
51,124
216,124
426,124
48,124
294,124
59,124
1,124
101,124
5,124
0,124
0,124
15,124
1,124
466,131
0,132
384,124
207,120
69,124
0,130
51,134
1,134
14,124
113,124
410,132
66,120
117,124
1,125
0,124
454,125
0,124
0,124
309,120
74,134
230,126
326,120
260,124
430,120
0,124
201,125
428,125
0,124
321,125
0,124
403,128
151,130
0,124
2,134
281,124
0,130
0,124
0,126
12,130
236,124
0,124
39,126
105,134
406,124
452,124
0,120
30,124
0,132
223,124
0,124
1,126
3,131
405,124
262,124
106,127
134,132
97,124
0,124
0,134
0,124
49,124
350,124
89,130
0,124
44,124
364,124
